"Refs","Value","Footprint","Qty","Manufacturer","MPN","LCSC Part","Datasheet","DNP"
"C1,C4,C6,C8,C12-C15,C29-C33","100nF","Capacitor_SMD:C_0402_1005Metric","13","","","","",""
"C2,C3,C5,C11,C24","1uF","Capacitor_SMD:C_0402_1005Metric","5","","","","",""
"C7,C20-C23","10uF","Capacitor_SMD:C_0805_2012Metric","5","","","","",""
"C16,C18","10u","Capacitor_SMD:C_0805_2012Metric","2","","","","",""
"C17,C19","22u 25V","Capacitor_SMD:C_1210_3225Metric","2","","","","",""
"C25","0.6pF","Capacitor_SMD:C_0402_1005Metric","1","","","","",""
"C26","0.8pF","Capacitor_SMD:C_0402_1005Metric","1","","","","",""
"C27,C35","12pF","Capacitor_SMD:C_0402_1005Metric","2","","","","",""
"CN1","B2B-PH-SM4-TB","easyeda2kicad:CONN-SMD_B2B-PH-SM4-TB-LF-SN","1","JST","B2B-PH-SM4-TB(LF)(SN)","C160352","https://lcsc.com/product-detail/C160352.html",""
"D1,D6-D12","LED","easyeda2kicad:LED-SMD_L3.0-W3.0_XL-3030UWC-1W-3V","8","","","","",""
"D3","SP3012-04UTG","easyeda2kicad:UDFN-10_L2.5-W1.0-P0.50-BL","1","Littelfuse(美国力特)","SP3012-04UTG","C151304","https://lcsc.com/product-detail/TVS_Littelfuse_SP3012-04UTG_Littelfuse-SP3012-04UTG_C151304.html",""
"D5","PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","1","","","","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf",""
"D13-D15","SS34_C8678","easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD","3","MDD(辰达半导体)","SS34","C8678","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS34_C8678.html",""
"J1","XH-2P-SMD","easyeda2kicad:CONN-SMD_2P-P2.54_XH2.54-2AB","1","","","","",""
"J2","2.54-3P-LT","easyeda2kicad:CONN-SMD_2.54-3P-LT","1","","","","",""
"J3","SIM_Card","easyeda2kicad:SIM-SMD_SMN-303","1","","","","",""
"L2,L3","10uH","easyeda2kicad:IND-SMD_L4.0-W4.0","2","","","","",""
"L4,L5","2.2uH","easyeda2kicad:IND-SMD_L4.0-W4.0_NRS4018T","2","","","","",""
"L6","4.7nH","easyeda2kicad:L0402-R-RD","1","","","","",""
"LED1,LED2","19-237/R6GHBHC-A01/2T","easyeda2kicad:LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1","2","EVERLIGHT(亿光)","19-237/R6GHBHC-A01/2T","C60105","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_19-237-R6GHBHC-A01-2T_C60105.html",""
"P1","USB_C_Plug_USB2.0","easyeda2kicad:TYPE-C-SMD_TYPE-C-6P_1","1","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip",""
"Q1,Q2,Q4","BSS84","Package_TO_SOT_SMD:SOT-23","3","","","","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf",""
"Q3,Q5,Q6","2N7002","Package_TO_SOT_SMD:SOT-23","3","","","","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF",""
"R1","47k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R2","150k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R3,R4,R20,R22","10k","Resistor_SMD:R_0402_1005Metric","4","","","","",""
"R5,R6,R28","330","Resistor_SMD:R_0402_1005Metric","3","","","","",""
"R7-R14","4.7","Resistor_SMD:R_0402_1005Metric","8","","","","",""
"R15","5.1k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R16,R17","22R","Resistor_SMD:R_0402_1005Metric","2","","","","",""
"R18,R23,R24","100R","Resistor_SMD:R_0402_1005Metric","3","","","","",""
"R19","191k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R21","240k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R25","100k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"R26,R27","4.7k","Resistor_SMD:R_0402_1005Metric","2","","","","",""
"RV1","10k","easyeda2kicad:RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR","1","","","","",""
"SW1","SW_Push","easyeda2kicad:KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","1","","","","",""
"TH1","Thermistor","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"U1","nRF52840","Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm","1","","","","http://infocenter.nordicsemi.com/topic/com.nordic.infocenter.nrf52/dita/nrf52/chips/nrf52840.html",""
"U2","NRF9151-LACA-R7","easyeda2kicad:LGA-113_L12.1-W11.1_NRF9151-LACA-R7","1","NORDIC","nRF9151-SICA","C22397843","https://www.lcsc.com/datasheet/C22397843.pdf",""
"U3","NPM1300","easyeda2kicad:BGA-35_L3.1-W2.4-R5-C7-P0.42_NPM1300-CAAA-R","1","NORDIC","NPM1300-CAAA-R7","C25346894","https://www.lcsc.com/datasheet/C25346894.pdf",""
"U4","BMA400","easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL","1","Bosch(博世)","BMA400","C437655","https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_Bosch-Sensortec-BMA400_C437655.html",""
"U6,U10","BWU.FL-IPEX1","easyeda2kicad:IPEX-SMD_BWIPX-1-001E","2","BAT WIRELESS(蝙蝠无线)","BWU.FL-IPEX1","C5137195","https://www.lcsc.com/datasheet/C5137195.pdf",""
"U7","AN6520-245","easyeda2kicad:ANT-SMD_L6.5-W2.0","1","Rainsun(霖昱微)","AN6520-245","C239238","https://lcsc.com/product-detail/Others_Rainsun-microwave-Tech-AN6520-245_C239238.html",""
"U8","SEN0348_CONN","easyeda2kicad:CONN-SMD_SM06B-SRSS-TB-LF-SN","1","JST","SM06B-SRSS-TB(LF)(SN)","C160405","https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM06B-SRSS-TB-LF-SN_C160405.html",""
"U9","SM04B-SRSS-TB","easyeda2kicad:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","1","JST","SM04B-SRSS-TB(LF)(SN)","C160404","https://lcsc.com/product-detail/C160404.html",""
"U11,U14","HX PZ1.27-2x5P TP","easyeda2kicad:HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1","2","hanxia","HX PZ1.27-2x5P TP","C41376037","https://www.lcsc.com/datasheet/C41376037.pdf",""
"U12,U13","MT3608","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","2","西安航天民芯","MT3608","C84817","https://lcsc.com/product-detail/DC-DC-Converters_MT3608_C84817.html",""
"Y1","32MHz","easyeda2kicad:CRYSTAL-SMD_4P-L2.0-W1.6-BL","1","","","","",""
