Designator,Quantity,Comment,Footprint,JLCPCB Part #
"C1,C4,C6,C8,C12,C13,C14,C15,C29,C30,C31,C32,C33",13,100nF,Capacitor_SMD:C_0402_1005Metric,C307331
"C2,C3,C5,C11,C24",5,1uF,Capacitor_SMD:C_0402_1005Metric,C52923
"C7,C16,C18,C20,C21,C22,C23",7,10uF,Capacitor_SMD:C_0805_2012Metric,C15850
"C17,C19",2,22u 25V,Capacitor_SMD:C_1210_3225Metric,C52306
C25,1,0.6pF,Capacitor_SMD:C_0402_1005Metric,C778333
C26,1,0.8pF,Capacitor_SMD:C_0402_1005Metric,C3875120
"C27,C35",2,12pF,Capacitor_SMD:C_0402_1005Metric,C1547
CN1,1,B2B-PH-SM4-TB,easyeda2kicad:CONN-SMD_B2B-PH-SM4-TB-LF-SN,C160352
"D1,D6,D7,D8,D9,D10,D11,D12",8,LED,easyeda2kicad:LED-SMD_L3.0-W3.0_XL-3030UWC-1W-3V,C2843891
D3,1,SP3012-04UTG,easyeda2kicad:UDFN-10_L2.5-W1.0-P0.50-BL,C151304
D5,1,PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,C2827688
"D13,D14,D15",3,SS34_C8678,easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD,C8678
J1,1,XH-2P-SMD,easyeda2kicad:CONN-SMD_2P-P2.54_XH2.54-2AB,C146125
J2,1,2.54-3P-LT,easyeda2kicad:CONN-SMD_2.54-3P-LT,C2681544
J3,1,SIM_Card,easyeda2kicad:SIM-SMD_SMN-303,C266888
"L2,L3",2,10uH,easyeda2kicad:IND-SMD_L4.0-W4.0,C2849472
"L4,L5",2,2.2uH,easyeda2kicad:IND-SMD_L4.0-W4.0_NRS4018T,C92959
L6,1,4.7nH,easyeda2kicad:L0402-R-RD,C86065
"LED1,LED2",2,19-237/R6GHBHC-A01/2T,easyeda2kicad:LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1,C60105
P1,1,USB_C_Plug_USB2.0,easyeda2kicad:TYPE-C-SMD_TYPE-C-6P_1,C456012
"Q1,Q2,Q4",3,BSS84,Package_TO_SOT_SMD:SOT-23,C3018484
"Q3,Q5,Q6",3,2N7002,Package_TO_SOT_SMD:SOT-23,C8545
R1,1,47k,Resistor_SMD:R_0402_1005Metric,C25792
R2,1,150k,Resistor_SMD:R_0402_1005Metric,C22369540
"R3,R4,R20,R22",4,10k,Resistor_SMD:R_0402_1005Metric,C49330233
"R5,R6,R28",3,330,Resistor_SMD:R_0402_1005Metric,C25104
"R7,R8,R9,R10,R11,R12,R13,R14",8,4.7,Resistor_SMD:R_0402_1005Metric,C25169
R15,1,5.1k,Resistor_SMD:R_0402_1005Metric,C25905
"R16,R17",2,22R,Resistor_SMD:R_0402_1005Metric,C100318
"R18,R23,R24",3,100R,Resistor_SMD:R_0402_1005Metric,C25076
R19,1,191k,Resistor_SMD:R_0402_1005Metric,C159084
R21,1,240k,Resistor_SMD:R_0402_1005Metric,C64043
R25,1,100k,Resistor_SMD:R_0402_1005Metric,C144809
"R26,R27",2,4.7k,Resistor_SMD:R_0402_1005Metric,C25900
RV1,1,10k,easyeda2kicad:RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR,C719176
SW1,1,SW_Push,easyeda2kicad:KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,C139797
TH1,1,Thermistor,Resistor_SMD:R_0402_1005Metric,C77131
U1,1,nRF52840,Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm,C190794
U2,1,NRF9151-LACA-R7,easyeda2kicad:LGA-113_L12.1-W11.1_NRF9151-LACA-R7,C22397843
U3,1,NPM1300,easyeda2kicad:BGA-35_L3.1-W2.4-R5-C7-P0.42_NPM1300-CAAA-R,C25346894
U4,1,BMA400,easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL,C437655
"U6,U10",2,BWU.FL-IPEX1,easyeda2kicad:IPEX-SMD_BWIPX-1-001E,C5137195
U7,1,AN6520-245,easyeda2kicad:ANT-SMD_L6.5-W2.0,C239238
U8,1,SEN0348_CONN,easyeda2kicad:CONN-SMD_SM06B-SRSS-TB-LF-SN,C160405
U9,1,SM04B-SRSS-TB,easyeda2kicad:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404
"U11,U14",2,HX PZ1.27-2x5P TP,easyeda2kicad:HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1,C41376037
"U12,U13",2,MT3608,easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C84817
Y1,1,32MHz,easyeda2kicad:CRYSTAL-SMD_4P-L2.0-W1.6-BL,C187794
